Identifier,Source String,Context,Translation
AnswersEditor.answersLabel,Answers,"
-- CONTEXT --
",
AnswersEditor.newAnswerBtnLabel,New answer,"
-- CONTEXT --
",
AnswersEditor.noAnswersPlaceholder,Question has no answer options,"
-- CONTEXT --
",
AnswersEditor.numberFieldErrorLabel,Answer must be a number,"
-- CONTEXT --
",
AppBar.administration,Administration,"
-- CONTEXT --
",
AppBar.changeLanguage,Change language,"
-- CONTEXT --
",
AppBar.help,Help and support,"
-- CONTEXT --
",
AppBar.logIn,Sign in,"
-- CONTEXT --
",
AppBar.logOut,Sign out,"
-- CONTEXT --
",
AppBar.settings,Settings,"
-- CONTEXT --
",
AppBar.title,Kolibri Studio,"
-- CONTEXT --
",
AssessmentEditor.closeBtnLabel,Close,"
-- CONTEXT --
",
AssessmentEditor.incompleteItemIndicatorLabel,Incomplete,"
-- CONTEXT --
",
AssessmentEditor.newQuestionBtnLabel,New question,"
-- CONTEXT --
",
AssessmentEditor.noQuestionsPlaceholder,Exercise has no questions,"
-- CONTEXT --
",
AssessmentEditor.showAnswers,Show answers,"
-- CONTEXT --
",
AssessmentEditor.toolbarItemLabel,question,"
-- CONTEXT --
",
AssessmentItemEditor.dialogMessageChangeToInput,Switching to 'numeric input' will set all answers as correct and remove all non-numeric answers. Continue?,"
-- CONTEXT --
",
AssessmentItemEditor.dialogMessageChangeToSingleSelection,Switching to 'single choice' will set only one answer as correct. Continue?,"
-- CONTEXT --
",
AssessmentItemEditor.dialogMessageChangeToTrueFalse,Switching to 'true or false' will remove all current answers. Continue?,"
-- CONTEXT --
",
AssessmentItemEditor.dialogSubmitBtnLabel,Change,"
-- CONTEXT --
",
AssessmentItemEditor.dialogTitle,Changing question type,"
-- CONTEXT --
",
AssessmentItemEditor.questionLabel,Question,"
-- CONTEXT --
",
AssessmentItemEditor.questionTypeLabel,Response type,"
-- CONTEXT --
",
AssessmentItemPreview.answersLabel,Answers,"
-- CONTEXT --
",
AssessmentItemPreview.hintsToggleLabelHide,Hide hints,"
-- CONTEXT --
",
AssessmentItemPreview.hintsToggleLabelShow,"Show {hintsCount} {hintsCount, plural, one {hint} other {hints}}","
-- CONTEXT --
",
AssessmentItemPreview.noAnswersPlaceholder,Question has no answer options,"
-- CONTEXT --
",
AssessmentItemToolbar.toolbarLabelAddAbove,Add {itemLabel} above,"
-- CONTEXT --
",
AssessmentItemToolbar.toolbarLabelAddBelow,Add {itemLabel} below,"
-- CONTEXT --
",
AssessmentItemToolbar.toolbarLabelDelete,Delete,"
-- CONTEXT --
",
AssessmentItemToolbar.toolbarLabelEdit,Edit,"
-- CONTEXT --
",
AssessmentItemToolbar.toolbarLabelMoveDown,Move down,"
-- CONTEXT --
",
AssessmentItemToolbar.toolbarLabelMoveUp,Move up,"
-- CONTEXT --
",
AssessmentTab.dialogCancelBtnLabel,Cancel,"
-- CONTEXT --
",
AssessmentTab.dialogSubmitBtnLabel,Submit,"
-- CONTEXT --
",
AssessmentTab.incompleteItemsCountMessage,"{invalidItemsCount} incomplete {invalidItemsCount, plural, one {question} other {questions}}","
-- CONTEXT --
",
BrowsingCard.addToClipboardAction,Copy to clipboard,"
-- CONTEXT --
",
BrowsingCard.coach,Resource for coaches,"
-- CONTEXT --
",
BrowsingCard.goToSingleLocationAction,Go to location,"
-- CONTEXT --
",
BrowsingCard.hasCoachTooltip,"{value, number, integer} {value, plural, one {resource for coaches} other {resources for coaches}}","
-- CONTEXT --
",
BrowsingCard.previewAction,View details,"
-- CONTEXT --
",
BrowsingCard.resourcesCount,"{count, number} {count, plural, one {resource} other {resources}}","
-- CONTEXT --
",
BrowsingCard.tagsList,Tags: {tags},"
-- CONTEXT --
",
BytesForHumansStrings.fileSizeInBytes,"{n, number, integer} B","
-- CONTEXT --
",
BytesForHumansStrings.fileSizeInGigabytes,"{n, number, integer} GB","
-- CONTEXT --
",
BytesForHumansStrings.fileSizeInKilobytes,"{n, number, integer} KB","
-- CONTEXT --
",
BytesForHumansStrings.fileSizeInMegabytes,"{n, number, integer} MB","
-- CONTEXT --
",
BytesForHumansStrings.fileSizeInTerabytes,"{n, number, integer} TB","
-- CONTEXT --
",
CatalogFAQ.KolibriAnswer,"Kolibri is an open source ed-tech platform designed for low-resource communities, focused on:","
-- CONTEXT --
",
CatalogFAQ.KolibriAnswerItem1,Overcoming infrastructural barriers that prevent equitable access to quality education for learners in low-resource and low-connectivity contexts,"
-- CONTEXT --
",
CatalogFAQ.KolibriAnswerItem2,"Increasing the availability of open learning materials suitable for many curricula, learning goals, and situations","
-- CONTEXT --
",
CatalogFAQ.KolibriAnswerItem3,Fostering innovative pedagogy and effective learning outcomes,"
-- CONTEXT --
",
CatalogFAQ.KolibriQuestion,What is Kolibri?,"
-- CONTEXT --
",
CatalogFAQ.aboutHeader,Welcome to the Kolibri Content Library Catalog! ,"
-- CONTEXT --
",
CatalogFAQ.aboutKolibriHeader,About Kolibri,"
-- CONTEXT --
",
CatalogFAQ.aboutLibraryHeader,About the Kolibri Content Library,"
-- CONTEXT --
",
CatalogFAQ.channelAnswer,"A channel is Kolibri’s unit of organization for digital content. It's a collection of resources organized by single institutions or creators, each of which may contain a set of books, games, textbooks, articles, simulations, exercises, and many more types of educational materials, all made available for use in Kolibri without the need for internet access. A channel isn't necessarily a course or a sequence, it's simply a collection of materials published or gathered together by one organization, as close to the provider's original layout as possible, while still organized for the best possible navigation in Kolibri.","
-- CONTEXT --
",
CatalogFAQ.channelLink,What is a channel?,"
-- CONTEXT --
",
CatalogFAQ.channelQuestion,What is a channel?,"
-- CONTEXT --
",
CatalogFAQ.coachContentAnswer,"Most resources are directed at learners, but some, such as lesson plans, subject refreshers, professional learning guides, and similar, are directed at teachers and facilitators. In Kolibri, we mark this content as ""for coaches"" and limit its visibility to those with coach accounts. If you see coach materials here, they may require less planning for any facilitators using the resource!","
-- CONTEXT --
",
CatalogFAQ.coachContentQuestion,What are 'resources for coaches'?,"
-- CONTEXT --
",
CatalogFAQ.customContentAnswer,"To add your own materials, create an account on Kolibri Studio by going to https://studio.learningequality.org. Recommendations for public materials to be added to the Kolibri Content Library can be made by contacting content@learningequality.org.","
-- CONTEXT --
",
CatalogFAQ.customContentQuestion,How can I add my own materials or recommend materials from other creators for this library?,"
-- CONTEXT --
",
CatalogFAQ.descriptionP1,"Here you can learn more about the educational resources publicly available for use in Kolibri, which are organized into ""channels"". Use the filters to browse channels by keyword, language, or formats of the materials inside.","
-- CONTEXT --
",
CatalogFAQ.descriptionP2,"Click on a channel to get a preview of what subjects and topics it covers, learn more about its creator, see how many resources the channel contains, and learn how to import it into Kolibri. You can also find coach-specific content (lesson plans, teacher professional guides, and other supplementary facilitation material), assessments and exercises, and captions for accessibility.","
-- CONTEXT --
",
CatalogFAQ.descriptionP3,"Sharing the work of these resource creators is what inspires Learning Equality's efforts. We hope you find something that excites you about the potential of digital learning, online or off!","
-- CONTEXT --
",
CatalogFAQ.downloadKolibriLink,Download Kolibri,"
-- CONTEXT --
",
CatalogFAQ.downloadLink,Download,"
-- CONTEXT --
",
CatalogFAQ.endoresementQuestion,Have these sources been vetted or endorsed as classroom-safe and ready?,"
-- CONTEXT --
",
CatalogFAQ.endorsementAnswer,"We select sources with an educational affiliation or mandate, so you can trust that most resources in the Kolibri Content Library were designed for learning purposes. However,  we are not able to guarantee the appropriateness of each individual item within any particular source. We recommend that educators and administrators conduct a thorough review of any digital content using their own criteria - including reorganization and re-curation, if necessary - before using it with learners. Since we recognize that there may be many different standards across situations for criteria like preferred levels of interactivity, subject/age appropriateness, cultural sensitivity and tone, among others, we have intentionally offered a wide range of materials to help meet the needs of all learners whatever they may be.","
-- CONTEXT --
",
CatalogFAQ.faqHeader,Frequently asked questions,"
-- CONTEXT --
",
CatalogFAQ.issueAnswer,"Please email us at content@learningequality.org and include the channel name, along with a description of the issue. If you notice an issue on a specific resource, please be sure to link that as well. We'd be happy to investigate and grateful for your feedback!","
-- CONTEXT --
",
CatalogFAQ.issueQuestion,"I found a bug, broken link, or some mislabeled information within a resource. What should I do?","
-- CONTEXT --
",
CatalogFAQ.maintenanceAnswerP1,"Because Kolibri is designed for learners and educators who are disconnected from the internet, content must first be packaged so that it can be used without internet connection. For most sources, our content team uses custom-written, automated scripts to bring content into Kolibri from a website, an app, or a private source such as a hard drive (with the appropriate permissions).","
-- CONTEXT --
",
CatalogFAQ.maintenanceAnswerP2,"To learn more about how content is packaged for use on Kolibri and what types of formats are supported, please refer to our content integration guide.","
-- CONTEXT --
",
CatalogFAQ.maintenanceQuestion,How is this library created and maintained?,"
-- CONTEXT --
",
CatalogFAQ.makerAnswerP1,"Learning Equality, a 501(c)(3) nonprofit based in San Diego, California, is committed to enabling every person in the world to realize their right to a quality education, by supporting the creation, adaptation, and distribution of open educational resources, and creating supportive tools for innovative pedagogy.","
-- CONTEXT --
",
CatalogFAQ.makerAnswerP2,"In recognition of the digital divide, Learning Equality started by bringing the Khan Academy experience offline to more than 6 million learners around the globe. Its second-generation product, Kolibri, is part of a broader ecosystem of products and tools that support curriculum alignment, blended learning pedagogies, and broader use of Open Educational Resources to improve learning.","
-- CONTEXT --
",
CatalogFAQ.makerQuestion,Who are the makers of Kolibri?,"
-- CONTEXT --
",
CatalogFAQ.newContentAnswer,Our content team routinely adds new sources and channels to the library and updates existing channels as content creators make new materials available.,"
-- CONTEXT --
",
CatalogFAQ.newContentQuestion,Does Learning Equality add new materials?,"
-- CONTEXT --
",
CatalogFAQ.ownershipAnswer,"No. Just like an online learning repository with links to external websites, we gather useful digital learning resources to help our community discover a rich variety of learning materials they may not have known about otherwise. All the materials in this educational library are fully credited to the creating organization, reformatted for best display on digital devices, and include any additional information the creator has shared with us. We only include content which is either openly licensed, available to distribute for special nonprofit or noncommercial purposes, or shared with us for distribution through agreement with the creator. Since materials in the library are intended for use in an open source platform, we do not profit financially from their use.","
-- CONTEXT --
",
CatalogFAQ.ownershipQuestion,Does Learning Equality own these resources?,"
-- CONTEXT --
",
CatalogFAQ.partialChannelAnswer,"When importing content into Kolibri, you can select the specific subsections of a channel you're interested in. If you’d like to make changes such as editing the title or folder descriptions, or changing the order in which materials appear, please contact us at content@learningequality.org for early access to our Kolibri Studio tool, which can be used to make these changes.","
-- CONTEXT --
",
CatalogFAQ.partialChannelQuestion,"I want to use some of the resources in this channel, but not all of it. What should I do?","
-- CONTEXT --
",
CatalogFAQ.sampleContentAnswer,You can do this in three ways:,"
-- CONTEXT --
",
CatalogFAQ.sampleContentAnswerItem1,"To see the original content source, click the ⋮  button and select 'Go to source website'","
-- CONTEXT --
",
CatalogFAQ.sampleContentAnswerItem2,"To preview the content on one of our online demo servers (available in English, Spanish, Arabic, French, and Hindi), click the ⋮ button and select 'View channel on Kolibri'","
-- CONTEXT --
",
CatalogFAQ.sampleContentAnswerItem3,Download Kolibri and import the channel on your device for full access offline.,"
-- CONTEXT --
",
CatalogFAQ.sampleContentQuestion,How do I review the contents of the channels themselves?,"
-- CONTEXT --
",
CatalogFAQ.selectionAnswerP1,"Our approach is unique in that we aim to assemble a library of resources which supports the diversity of needs Kolibri is designed to meet, rather than collecting all possible open educational resources.","
-- CONTEXT --
",
CatalogFAQ.selectionAnswerP2,"To inform what we select, the Learning Equality team is continually maintaining our awareness of openly licensed digital resources available in the educational landscape. Most of our resources come from an organization, institution, or creator with learning design experience and an educational mandate. We prioritize providing a diversity of grade levels, subject areas and languages. Where possible, we also evaluate and seek input on the degree to which the materials may be suitable for the unique blended learning settings in which we work.","
-- CONTEXT --
",
CatalogFAQ.selectionQuestion,How does Learning Equality determine what goes into this library?,"
-- CONTEXT --
",
CatalogFAQ.usingContentAnswer,"Great! All of these resources have been specially packaged for use on Kolibri, our open source platform for offline learning, so please review how to get started with Kolibri first, then follow the instructions to import materials.","
-- CONTEXT --
",
CatalogFAQ.usingContentQuestion,I found something I'm interested in and would like to start using it. What should I do?,"
-- CONTEXT --
",
CatalogFAQ.usingKolibriAnswerP1,You can learn more about using Kolibri by doing any of the following:,"
-- CONTEXT --
",
CatalogFAQ.usingKolibriAnswerP2,We invite you to use the Kolibri user documentation for further guidance.,"
-- CONTEXT --
",
CatalogFAQ.usingKolibriItem1,Visit the Learning Equality website,"
-- CONTEXT --
",
CatalogFAQ.usingKolibriItem2,View a demo of the platform,"
-- CONTEXT --
",
CatalogFAQ.usingKolibriItem3,Download the software,"
-- CONTEXT --
",
CatalogFAQ.usingKolibriQuestion,How can I use Kolibri?,"
-- CONTEXT --
",
CatalogFAQ.usingResourcesHeader,About using these resources,"
-- CONTEXT --
",
CatalogFAQ.viewDemoLink,View demo,"
-- CONTEXT --
",
CatalogFAQ.viewDocsLink,View docs,"
-- CONTEXT --
",
CatalogFAQ.viewGettingStartedLink,Documentation resources to get started with Kolibri,"
-- CONTEXT --
",
CatalogFAQ.viewIntegrationGuide,View content integration guide,"
-- CONTEXT --
",
CatalogFAQ.visitWebsiteLink,Visit website,"
-- CONTEXT --
",
CatalogFilterBar.assessments,Assessments,"
-- CONTEXT --
",
CatalogFilterBar.channelCount,"{count, plural,
 =1 {# channel}
 other {# channels}}","
-- CONTEXT --
",
CatalogFilterBar.clearAll,Clear all,"
-- CONTEXT --
",
CatalogFilterBar.close,Close,"
-- CONTEXT --
",
CatalogFilterBar.coachContent,Coach content,"
-- CONTEXT --
",
CatalogFilterBar.copyTitle,Copy collection token,"
-- CONTEXT --
",
CatalogFilterBar.copyToken,Copy collection token,"
-- CONTEXT --
",
CatalogFilterBar.copyTokenInstructions,Paste this token into Kolibri to import the channels contained in this collection,"
-- CONTEXT --
",
CatalogFilterBar.keywords,"""{text}""","
-- CONTEXT --
",
CatalogFilterBar.starred,Starred,"
-- CONTEXT --
",
CatalogFilterBar.subtitles,Subtitles,"
-- CONTEXT --
",
CatalogFilters.coachDescription,Resources for coaches are only visible to coaches in Kolibri,"
-- CONTEXT --
",
CatalogFilters.coachLabel,Resources for coaches,"
-- CONTEXT --
",
CatalogFilters.copyright,© {year} Learning Equality,"
-- CONTEXT --
",
CatalogFilters.formatLabel,Formats,"
-- CONTEXT --
",
CatalogFilters.frequentlyAskedQuestionsLink,Frequently asked questions,"
-- CONTEXT --
",
CatalogFilters.includesLabel,Display only channels with,"
-- CONTEXT --
",
CatalogFilters.licenseLabel,Licenses,"
-- CONTEXT --
",
CatalogFilters.searchLabel,Keywords,"
-- CONTEXT --
",
CatalogFilters.searchText,Search,"
-- CONTEXT --
",
CatalogFilters.starredLabel,Starred,"
-- CONTEXT --
",
CatalogFilters.subtitlesLabel,Captions or subtitles,"
-- CONTEXT --
",
CatalogList.cancelButton,Cancel,"
-- CONTEXT --
",
CatalogList.channelSelectionCount,"{count, plural,
 =1 {# channel selected}
 other {# channels selected}}","
-- CONTEXT --
",
CatalogList.downloadButton,Download,"
-- CONTEXT --
",
CatalogList.downloadCSV,Download CSV,"
-- CONTEXT --
",
CatalogList.downloadPDF,Download PDF,"
-- CONTEXT --
",
CatalogList.downloadingMessage,Download started,"
-- CONTEXT --
",
CatalogList.resultsText,"{count, plural,
 =1 {# result found}
 other {# results found}}","
-- CONTEXT --
",
CatalogList.selectAll,Select all,"
-- CONTEXT --
",
CatalogList.selectChannels,Download a summary of selected channels,"
-- CONTEXT --
",
CategoryOptions.noCategoryFoundText,Category not found,"
-- CONTEXT --
",
ChangePasswordForm.cancelAction,Cancel,"
-- CONTEXT --
",
ChangePasswordForm.changePasswordHeader,Change password,"
-- CONTEXT --
",
ChangePasswordForm.confirmNewPasswordLabel,Confirm new password,"
-- CONTEXT --
",
ChangePasswordForm.formInvalidText,Passwords don't match,"
-- CONTEXT --
",
ChangePasswordForm.newPasswordLabel,New password,"
-- CONTEXT --
",
ChangePasswordForm.passwordChangeFailed,Failed to save new password,"
-- CONTEXT --
",
ChangePasswordForm.paswordChangeSuccess,Password updated,"
-- CONTEXT --
",
ChangePasswordForm.saveChangesAction,Save changes,"
-- CONTEXT --
",
ChannelCatalogFrontPage.assessmentsIncludedText,Assessments,"
-- CONTEXT --
",
ChannelCatalogFrontPage.catalogHeader,Kolibri Content Library channels,"
-- CONTEXT --
",
ChannelCatalogFrontPage.coachHeading,Resources for coaches,"
-- CONTEXT --
",
ChannelCatalogFrontPage.containsHeading,Contains,"
-- CONTEXT --
",
ChannelCatalogFrontPage.defaultNoItemsText,---,"
-- CONTEXT --
",
ChannelCatalogFrontPage.exported,Exported,"
-- CONTEXT --
",
ChannelCatalogFrontPage.formatsHeading,Formats,"
-- CONTEXT --
",
ChannelCatalogFrontPage.languagesHeading,Languages,"
-- CONTEXT --
",
ChannelCatalogFrontPage.numberOfChannels,{ num } channels,"
-- CONTEXT --
",
ChannelCatalogFrontPage.subtitlesIncludedText,Captions or subtitles,"
-- CONTEXT --
",
ChannelDeletedError.backToHomeAction,Back to home,"
-- CONTEXT --
",
ChannelDeletedError.channelDeletedDetails,This channel does not exist or may have been removed. Please contact us at content@learningequality.org if you think this is a mistake.,"
-- CONTEXT --
",
ChannelDeletedError.channelDeletedHeader,Channel not found,"
-- CONTEXT --
",
ChannelDetailsModal.downloadButton,Download channel summary,"
-- CONTEXT --
",
ChannelDetailsModal.downloadCSV,Download CSV,"
-- CONTEXT --
",
ChannelDetailsModal.downloadPDF,Download PDF,"
-- CONTEXT --
",
ChannelExportStrings.aggregators,Aggregators,"
-- CONTEXT --
",
ChannelExportStrings.assessments,Assessments,"
-- CONTEXT --
",
ChannelExportStrings.authors,Authors,"
-- CONTEXT --
",
ChannelExportStrings.coachContent,Resources for coaches,"
-- CONTEXT --
",
ChannelExportStrings.copyrightHolders,Copyright holders,"
-- CONTEXT --
",
ChannelExportStrings.description,Description,"
-- CONTEXT --
",
ChannelExportStrings.downloadFilename,{year}_{month}_Kolibri_Content_Library,"
-- CONTEXT --
",
ChannelExportStrings.id,Channel ID,"
-- CONTEXT --
",
ChannelExportStrings.language,Language,"
-- CONTEXT --
",
ChannelExportStrings.languages,Included languages,"
-- CONTEXT --
",
ChannelExportStrings.licenses,Licenses,"
-- CONTEXT --
",
ChannelExportStrings.name,Name,"
-- CONTEXT --
",
ChannelExportStrings.no,No,"
-- CONTEXT --
",
ChannelExportStrings.providers,Providers,"
-- CONTEXT --
",
ChannelExportStrings.resources,Resources,"
-- CONTEXT --
",
ChannelExportStrings.size,Total resources,"
-- CONTEXT --
",
ChannelExportStrings.storage,Storage,"
-- CONTEXT --
",
ChannelExportStrings.subtitles,Captions or subtitles,"
-- CONTEXT --
",
ChannelExportStrings.tags,Tags,"
-- CONTEXT --
",
ChannelExportStrings.token,Token,"
-- CONTEXT --
",
ChannelExportStrings.yes,Yes,"
-- CONTEXT --
",
ChannelInfoCard.resourceCount,"{count, number} {count, plural, one {resource} other {resources}}","
-- CONTEXT --
",
ChannelInvitation.accept,Accept,"
-- CONTEXT --
",
ChannelInvitation.acceptedSnackbar,Accepted invitation,"
-- CONTEXT --
",
ChannelInvitation.cancel,Cancel,"
-- CONTEXT --
",
ChannelInvitation.decline,Decline,"
-- CONTEXT --
",
ChannelInvitation.declinedSnackbar,Declined invitation,"
-- CONTEXT --
",
ChannelInvitation.decliningInvitation,Declining Invitation,"
-- CONTEXT --
",
ChannelInvitation.decliningInvitationMessage,Are you sure you want to decline this invitation?,"
-- CONTEXT --
",
ChannelInvitation.editText,{sender} has invited you to edit {channel},"
-- CONTEXT --
",
ChannelInvitation.goToChannelSnackbarAction,Go to channel,"
-- CONTEXT --
",
ChannelInvitation.viewText,{sender} has invited you to view {channel},"
-- CONTEXT --
",
ChannelItem.cancel,Cancel,"
-- CONTEXT --
",
ChannelItem.channelDeletedSnackbar,Channel deleted,"
-- CONTEXT --
",
ChannelItem.channelLanguageNotSetIndicator,No language set,"
-- CONTEXT --
",
ChannelItem.copyToken,Copy channel token,"
-- CONTEXT --
",
ChannelItem.deleteChannel,Delete channel,"
-- CONTEXT --
",
ChannelItem.deletePrompt,This channel will be permanently deleted. This cannot be undone.,"
-- CONTEXT --
",
ChannelItem.deleteTitle,Delete this channel,"
-- CONTEXT --
",
ChannelItem.details,Details,"
-- CONTEXT --
",
ChannelItem.editChannel,Edit channel details,"
-- CONTEXT --
",
ChannelItem.goToWebsite,Go to source website,"
-- CONTEXT --
",
ChannelItem.lastPublished,Published {last_published},"
-- CONTEXT --
",
ChannelItem.lastUpdated,Updated {updated},"
-- CONTEXT --
",
ChannelItem.resourceCount,"{count, plural,
 =1 {# resource}
 other {# resources}}","
-- CONTEXT --
",
ChannelItem.unpublishedText,Unpublished,"
-- CONTEXT --
",
ChannelItem.versionText,Version {version},"
-- CONTEXT --
",
ChannelItem.viewContent,View channel on Kolibri,"
-- CONTEXT --
",
ChannelList.channel,New channel,"
-- CONTEXT --
",
ChannelList.channelFilterLabel,Channels,"
-- CONTEXT --
",
ChannelList.noChannelsFound,No channels found,"
-- CONTEXT --
",
ChannelList.noMatchingChannels,There are no matching channels,"
-- CONTEXT --
",
ChannelListAppError.channelPermissionsErrorDetails,Sign in or ask the owner of this channel to give you permission to edit or view,"
-- CONTEXT --
",
ChannelListIndex.catalog,Content Library,"
-- CONTEXT --
",
ChannelListIndex.channelSets,Collections,"
-- CONTEXT --
",
ChannelListIndex.frequentlyAskedQuestions,Frequently asked questions,"
-- CONTEXT --
",
ChannelListIndex.invitations,"You have {count, plural,
 =1 {# invitation}
 other {# invitations}}","
-- CONTEXT --
",
ChannelListIndex.libraryTitle,Kolibri Content Library Catalog,"
-- CONTEXT --
",
ChannelModal.APIText,Channels generated automatically are not editable.,"
-- CONTEXT --
",
ChannelModal.changesSaved,Changes saved,"
-- CONTEXT --
",
ChannelModal.channelDescription,Channel description,"
-- CONTEXT --
",
ChannelModal.channelError,Field is required,"
-- CONTEXT --
",
ChannelModal.channelName,Channel name,"
-- CONTEXT --
",
ChannelModal.closeButton,Exit without saving,"
-- CONTEXT --
",
ChannelModal.createButton,Create,"
-- CONTEXT --
",
ChannelModal.creatingHeader,New channel,"
-- CONTEXT --
",
ChannelModal.details,Channel details,"
-- CONTEXT --
",
ChannelModal.editTab,Details,"
-- CONTEXT --
",
ChannelModal.keepEditingButton,Keep editing,"
-- CONTEXT --
",
ChannelModal.notFoundError,Channel does not exist,"
-- CONTEXT --
",
ChannelModal.saveChangesButton,Save changes,"
-- CONTEXT --
",
ChannelModal.shareTab,Sharing,"
-- CONTEXT --
",
ChannelModal.unauthorizedError,You cannot edit this channel,"
-- CONTEXT --
",
ChannelModal.unsavedChangesHeader,Unsaved changes,"
-- CONTEXT --
",
ChannelModal.unsavedChangesText,You will lose any unsaved changes. Are you sure you want to exit?,"
-- CONTEXT --
",
ChannelNotFoundError.backToHomeAction,Back to home,"
-- CONTEXT --
",
ChannelNotFoundError.channelNotFoundDetails,This channel does not exist or may have been removed. Please contact us at content@learningequality.org if you think this is a mistake.,"
-- CONTEXT --
",
ChannelNotFoundError.channelNotFoundHeader,Channel not found,"
-- CONTEXT --
",
